"STATION","NAME","DATE","TMAX","TMIN"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-08-31","99","81"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-09-01","98","81"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-09-02","97","80"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-09-03","96","79"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-09-04","98","78"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-09-05","94","81"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-09-06","96","77"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-09-07","96","72"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-09-08","94","70"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-09-09","93","69"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-09-10","93","69"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-09-11","92","72"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-09-12","91","69"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-09-13","90","75"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-09-14","85","71"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-09-15","90","69"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-09-16","91","73"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-09-17","93","73"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-09-18","97","73"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-09-19","95","74"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-09-20","102","76"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-09-21","89","70"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-09-22","84","59"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-09-23","86","57"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-09-24","88","59"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-09-25","92","63"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-09-26","92","66"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-09-27","90","67"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-09-28","94","72"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-09-29","92","74"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-09-30","90","70"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-10-01","80","69"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-10-02","87","71"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-10-03","89","67"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-10-04","91","63"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-10-05","89","61"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-10-06","89","62"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-10-07","92","63"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-10-08","92","72"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-10-09","92","70"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-10-10","92","64"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-10-11","83","62"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-10-12","83","64"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-10-13","87","65"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-10-14","84","67"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-10-15","76","58"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-10-16","73","49"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-10-17","74","47"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-10-18","75","49"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-10-19","80","58"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-10-20","83","65"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-10-21","83","64"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-10-22","84","60"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-10-23","86","67"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-10-24","84","68"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-10-25","87","64"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-10-26","84","70"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-10-27","76","60"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-10-28","72","58"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-10-29","71","49"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-10-30","74","42"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-10-31","79","52"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-11-01","78","54"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-11-02","61","48"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-11-03","49","45"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-11-04","59","44"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-11-05","61","39"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-11-06","66","40"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-11-07","72","43"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-11-08","71","50"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-11-09","74","57"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-11-10","76","57"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-11-11","66","46"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-11-12","69","43"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-11-13","63","37"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-11-14","70","43"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-11-15","81","45"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-11-16","79","61"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-11-17","82","54"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-11-18","61","46"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-11-19","60","38"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-11-20","72","47"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-11-21","70","49"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-11-22","65","41"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-11-23","70","42"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-11-24","76","54"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-11-25","69","42"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-11-26","55","34"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-11-27","58","44"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-11-28","65","46"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-11-29","73","39"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-11-30","77","46"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-12-01","75","50"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-12-02","79","45"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-12-03","75","59"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-12-04","74","58"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-12-05","75","56"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-12-06","68","40"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-12-07","58","35"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-12-08","58","43"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-12-09","79","56"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-12-10","81","67"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-12-11","72","36"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-12-12","57","31"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-12-13","66","41"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-12-14","72","55"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-12-15","79","67"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-12-16","76","62"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-12-17","77","62"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-12-18","70","38"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-12-19","49","33"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-12-20","53","40"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-12-21","62","34"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-12-22","66","43"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-12-23","75","54"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-12-24","79","61"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-12-25","81","62"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-12-26","76","59"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-12-27","79","65"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-12-28","81","57"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-12-29","74","55"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-12-30","76","47"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-12-31","70","52"
