latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
21.65136,97.50983,314.92,1.42,1.18,2022-02-20,0637,A,63,6.1NRT,303.15,9.9,D
21.6173,96.99139,318.51,1.54,1.22,2022-02-20,0637,A,56,6.1NRT,305.73,14.65,D
21.60785,96.87054,319.97,1.57,1.24,2022-02-20,0637,A,34,6.1NRT,308.23,17.62,D
21.60902,96.86343,322.83,1.57,1.24,2022-02-20,0637,A,31,6.1NRT,307.8,21.72,D
21.60965,96.67431,314.11,1.62,1.25,2022-02-20,0637,A,53,6.1NRT,302.74,11.7,D
21.72904,97.2299,317.03,1.48,1.2,2022-02-20,0637,A,65,6.1NRT,300.15,20.89,D
21.68703,96.98631,315.75,1.54,1.22,2022-02-20,0637,A,59,6.1NRT,304.85,13.81,D
21.95006,98.17925,322.22,1.28,1.12,2022-02-20,0637,A,77,6.1NRT,300.4,20.73,D
21.85067,97.11915,319.46,1.5,1.21,2022-02-20,0637,A,51,6.1NRT,302.6,17.44,D
21.96516,96.9284,313.72,1.54,1.22,2022-02-20,0637,A,45,6.1NRT,301.73,9.14,D
